Grouped by Parameter and Type:
Parameter: "counts", Type: "Tensor", Count: 1
Parameter: "prob", Type: "Tensor", Count: 1
Parameter: "real", Type: "Tensor", Count: 1
Parameter: "imag", Type: "Tensor", Count: 1
Parameter: "padding_idx", Type: "int | SymInt", Count: 1
Parameter: "qtensor", Type: "Tensor", Count: 1
Parameter: "m", Type: "int | SymInt", Count: 1
Parameter: "observer_on", Type: "Tensor", Count: 1
Parameter: "fake_quant_on", Type: "Tensor", Count: 1
Parameter: "running_min", Type: "Tensor", Count: 1
Parameter: "running_max", Type: "Tensor", Count: 1
Parameter: "cx", Type: "Tensor | None", Count: 1
Parameter: "dropout_state", Type: "Tensor | None", Count: 1
Parameter: "grad_output", Type: "Tensor", Count: 1
Parameter: "weight0", Type: "Tensor", Count: 1
Parameter: "weight1", Type: "Tensor", Count: 1
Parameter: "weight2", Type: "Tensor", Count: 1
Parameter: "weight3", Type: "Tensor", Count: 1
Parameter: "hx_", Type: "Tensor", Count: 1
Parameter: "cx_", Type: "Tensor", Count: 1
Parameter: "N", Type: "int | SymInt", Count: 1
Parameter: "C", Type: "int | SymInt", Count: 1
Parameter: "HxW", Type: "int | SymInt", Count: 1
Parameter: "v", Type: "Tensor", Count: 1
Parameter: "abs", Type: "Tensor", Count: 1
Parameter: "angle", Type: "Tensor", Count: 1
Parameter: "var", Type: "Tensor", Count: 1
Parameter: "high", Type: "Tensor", Count: 1
Parameter: "indices", Type: "Tensor | None", Count: 1
Parameter: "compressed_indices", Type: "Tensor | list[Unknown]", Count: 1
Parameter: "plain_indices", Type: "Tensor | list[Unknown]", Count: 1
Parameter: "B", Type: "Tensor | None", Count: 1
Parameter: "X", Type: "Tensor | None", Count: 1
Parameter: "iK", Type: "Tensor | None", Count: 1
Parameter: "pred", Type: "bool | int | float | Tensor", Count: 1
Parameter: "operands", Type: "tuple[Unknown, ...] | list[Unknown]", Count: 1
Parameter: "args", Type: "Module", Count: 1
Parameter: "value", Type: "Tensor | Module", Count: 1
Parameter: "embeddings", Type: "Tensor", Count: 1
Parameter: "device", Type: "int | str | device | None", Count: 1
Parameter: "compressed_indices_mapping", Type: "Tensor | None", Count: 1
Parameter: "other", Type: "LSTM", Count: 1
Parameter: "float_linear", Type: "Linear", Count: 1
Parameter: "base_name_to_sets_of_related_ops", Type: "dict[str, set[((...) -> Unknown) | str]] | None", Count: 1
Parameter: "unmatchable_types_map", Type: "dict[str, set[((...) -> Unknown) | str]] | None", Count: 1
Parameter: "tracer_cls", Type: "type[Tracer] | None", Count: 1
Parameter: "autowrap_functions", Type: "tuple[(...) -> Unknown, ...]", Count: 1
Parameter: "to_erase", Type: "Node", Count: 1
Parameter: "result", Type: "tuple[Argument, ...] | Sequence[Argument] | Mapping[str, Argument] | slice[Any, Any, Any] | range | Node | str | int | float | bool | complex | dtype | Tensor | device | memory_format | layout | OpOverload[..., Any] | SymInt | SymBool | SymFloat | None", Count: 1
Parameter: "codegen", Type: "CodeGen", Count: 1
Parameter: "output_args", Type: "tuple[Argument, ...] | Sequence[Argument] | Mapping[str, Argument] | slice[Any, Any, Any] | range | Node | str | int | float | bool | complex | dtype | Tensor | device | memory_format | layout | OpOverload[..., Any] | SymInt | SymBool | SymFloat | None", Count: 1
Parameter: "g", Type: "Graph", Count: 1
Parameter: "folder", Type: "str | PathLike[Unknown]", Count: 1
Parameter: "node_type_to_io_type_map", Type: "dict[str, set[((...) -> Unknown) | str]] | None", Count: 1
Parameter: "qconfig_mapping", Type: "QConfigMapping", Count: 1
Parameter: "global_qconfig", Type: "QConfig | None", Count: 1
Parameter: "end_node", Type: "Node", Count: 1
Parameter: "reversed_fusion", Type: "tuple[((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any]] | tuple[((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any], ((...) -> Unknown) | str | tuple[str, Any]]", Count: 1
Parameter: "op_to_type_to_weight_extraction_fn", Type: "dict[str, dict[(...) -> Unknown, (...) -> Unknown]] | None", Count: 1
Parameter: "parameterization", Type: "type[Module]", Count: 1
Parameter: "sparsifier", Type: "BaseSparsifier", Count: 1
Parameter: "parametrization", Type: "type[Module]", Count: 1
Parameter: "model", Type: "Module | None", Count: 1
Parameter: "x_orig", Type: "Tensor", Count: 1
Parameter: "observer_node", Type: "Node", Count: 1
Parameter: "graph_signature", Type: "ExportGraphSignature", Count: 1
Parameter: "decomp_table", Type: "dict[OperatorBase, (...) -> Unknown] | None", Count: 1
Parameter: "config", Type: "BackendPatternConfig", Count: 1
Parameter: "pattern", Type: "((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any | None", Count: 1
Parameter: "pattern", Type: "((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any", Count: 1
Parameter: "root_module", Type: "type[Module]", Count: 1
Parameter: "qat_module", Type: "type[Module]", Count: 1
Parameter: "reference_quantized_module", Type: "type[Module]", Count: 1
Parameter: "fused_module", Type: "type[Module]", Count: 1
Parameter: "current_module", Type: "Module", Count: 1
Parameter: "skipped_module_classes", Type: "list[(...) -> Unknown]", Count: 1
Parameter: "root", Type: "GraphModule", Count: 1
Parameter: "target_module_type", Type: "type[Module] | None", Count: 1
Parameter: "quantized_graph", Type: "Graph", Count: 1
Parameter: "old_node", Type: "Node", Count: 1
Parameter: "model", Type: "ExportedProgram | GraphModule", Count: 1
Parameter: "conv_node", Type: "Node", Count: 1
Parameter: "conv_weight_node", Type: "Node", Count: 1
Parameter: "conv_bias_node", Type: "Node | None", Count: 1
Parameter: "bn_node", Type: "Node", Count: 1
Parameter: "match_pattern", Type: "GraphModule", Count: 1
Parameter: "model", Type: "GraphModule | Module", Count: 1
Parameter: "operator_type", Type: "OpOverloadPacket[..., Any]", Count: 1
Parameter: "eps", Type: "Tensor", Count: 1
Parameter: "data", Type: "Tensor | None", Count: 1
Parameter: "_grad_fn", Type: "_FunctionBase | None", Count: 1
Parameter: "tensors", Type: "Tensor | Sequence[Tensor] | GradientEdge | Sequence[GradientEdge]", Count: 1
Parameter: "grad_tensors", Type: "Tensor | Sequence[Tensor] | None", Count: 1
Parameter: "grad_variables", Type: "Tensor | Sequence[Tensor] | None", Count: 1
Parameter: "inputs", Type: "Tensor | Sequence[Tensor] | GradientEdge | Sequence[GradientEdge] | None", Count: 1
Parameter: "outputs", Type: "Tensor | Sequence[Tensor] | GradientEdge | Sequence[GradientEdge]", Count: 1
Parameter: "inputs", Type: "Tensor | Sequence[Tensor] | GradientEdge | Sequence[GradientEdge]", Count: 1
Parameter: "tensor", Type: "Tensor | Iterable[Tensor]", Count: 1
Parameter: "peer_device", Type: "device | str | int | None", Count: 1
Parameter: "output", Type: "Tensor | Sequence[Tensor] | None", Count: 1
Parameter: "opts", Type: "AllreduceOptions", Count: 1
Parameter: "output_tensors", Type: "Tensor", Count: 1
Parameter: "output", Type: "Tensor", Count: 1
Parameter: "backend", Type: "Backend", Count: 1
Parameter: "reducer", Type: "Reducer", Count: 1
Parameter: "optimizer_class", Type: "type[Optimizer]", Count: 1
Parameter: "state", Type: "PostLocalSGDState", Count: 1
Parameter: "joinable", Type: "Joinable", Count: 1
Parameter: "model_state_dict", Type: "dict[str, Unknown | Any]", Count: 1
Parameter: "checkpoint_md", Type: "TensorStorageMetadata", Count: 1
Parameter: "local_tensor", Type: "Tensor", Count: 1
Parameter: "mesh", Type: "Tensor | _Buffer | _SupportsArray[dtype[Any]] | _NestedSequence[_SupportsArray[dtype[Any]]] | complex | bytes | str | _NestedSequence[complex | bytes | str]", Count: 1
Parameter: "group", Type: "ProcessGroup | list[ProcessGroup]", Count: 1
Parameter: "mesh", Type: "Tensor | _Buffer | _SupportsArray[dtype[Any]] | _NestedSequence[_SupportsArray[dtype[Any]]] | complex | bytes | str | _NestedSequence[complex | bytes | str] | None", Count: 1
Parameter: "tensor_properties", Type: "TensorProperties", Count: 1
Parameter: "resharding_spec", Type: "ShardingSpec", Count: 1
Parameter: "storage_writer", Type: "StorageWriter", Count: 1
Parameter: "planner", Type: "SavePlanner | None", Count: 1
Parameter: "bootstrap_store_info", Type: "RendezvousStoreInfo", Count: 1
Parameter: "event", Type: "RdzvEvent", Count: 1
Parameter: "error_handler", Type: "ErrorHandler | None", Count: 1
Parameter: "rdzv_impl", Type: "EtcdRendezvous", Count: 1
Parameter: "timer_client", Type: "TimerClient", Count: 1
Parameter: "dataset", Type: "Dataset[T@ElasticDistributedSampler]", Count: 1
Parameter: "dataset", Type: "Dataset[Unknown]", Count: 1
Parameter: "comm", Type: "AllGather", Count: 1
Parameter: "comm", Type: "ReduceScatter", Count: 1
Parameter: "process_group", Type: "ProcessGroup | tuple[ProcessGroup, ProcessGroup] | None", Count: 1
Parameter: "auto_wrap_policy", Type: "((...) -> Unknown) | ModuleWrapPolicy | CustomPolicy | None", Count: 1
Parameter: "device_id", Type: "int | device | None", Count: 1
Parameter: "module", Type: "Module | None", Count: 1
Parameter: "averager", Type: "ModelAverager", Count: 1
Parameter: "split_gm", Type: "GraphModule", Count: 1
Parameter: "user", Type: "Node", Count: 1
Parameter: "bwd_kwargs", Type: "dict[Unknown, Unknown]", Count: 1
Parameter: "graph", Type: "Graph | None", Count: 1
Parameter: "args", Type: "tuple[Argument, ...] | Sequence[Argument] | Mapping[str, Argument] | slice[Any, Any, Any] | range | Node | str | int | float | bool | complex | dtype | Tensor | device | memory_format | layout | OpOverload[..., Any] | SymInt | SymBool | SymFloat | None", Count: 1
Parameter: "stage", Type: "_PipelineStageBase", Count: 1
Parameter: "loss_fn", Type: "((...) -> Unknown) | _Loss | None", Count: 1
Parameter: "input_args", Type: "Tensor | tuple[Tensor, ...] | None", Count: 1
Parameter: "output_args", Type: "Tensor | tuple[Tensor, ...] | None", Count: 1
Parameter: "buffer", Type: "Tensor", Count: 1
Parameter: "_transports", Type: "list[Unknown] | None", Count: 1
Parameter: "_channels", Type: "list[Unknown] | None", Count: 1
Parameter: "op", Type: "OpOverload[..., Any] | list[OpOverload[..., Any]]", Count: 1
Parameter: "tp_device_mesh", Type: "DeviceMesh", Count: 1
Parameter: "total_count", Type: "Tensor | int", Count: 1
Parameter: "df1", Type: "Tensor | float", Count: 1
Parameter: "df2", Type: "Tensor | float", Count: 1
Parameter: "base_distribution", Type: "Distribution", Count: 1
Parameter: "transforms", Type: "Transform | list[Transform]", Count: 1
Parameter: "cov_factor", Type: "Tensor", Count: 1
Parameter: "cov_diag", Type: "Tensor", Count: 1
Parameter: "mixture_distribution", Type: "Categorical", Count: 1
Parameter: "component_distribution", Type: "Distribution", Count: 1
Parameter: "total_count", Type: "Tensor | float", Count: 1
Parameter: "alpha", Type: "Tensor | float", Count: 1
Parameter: "rate", Type: "Tensor | int | float | bool", Count: 1
Parameter: "distribution", Type: "Distribution", Count: 1
Parameter: "base_transform", Type: "Transform", Count: 1
Parameter: "low", Type: "Tensor | float", Count: 1
Parameter: "high", Type: "Tensor | float", Count: 1
Parameter: "df", Type: "Tensor | int | float | bool", Count: 1
Parameter: "values", Type: "Tensor | int | float | bool", Count: 1
Parameter: "lower", Type: "bool | Unknown", Count: 1
Parameter: "upper", Type: "bool | Unknown", Count: 1
Parameter: "x", Type: "int | float | Any | bool | Unknown", Count: 1
Parameter: "arg", Type: "int | float | Any | Unknown", Count: 1
Parameter: "arg", Type: "bool | Unknown", Count: 1
Parameter: "y", Type: "int | float | Any | Unknown", Count: 1
Parameter: "y", Type: "bool | Unknown", Count: 1
Parameter: "export_module", Type: "ExportedProgram", Count: 1
Parameter: "x", Type: "ScriptObject", Count: 1
Parameter: "location", Type: "device | str | dict[str, str]", Count: 1
Parameter: "models", Type: "Sequence[Module] | ModuleList", Count: 1
Parameter: "partition_0", Type: "Partition", Count: 1
Parameter: "partition_1", Type: "Partition", Count: 1
Parameter: "torch_module", Type: "Module", Count: 1
Parameter: "module_with_submodules", Type: "GraphModule", Count: 1
Parameter: "const_subgraph", Type: "Graph | None", Count: 1
Parameter: "mod_traced", Type: "GraphModule", Count: 1
Parameter: "module", Type: "Module | GraphModule", Count: 1
Parameter: "result", Type: "Tensor", Count: 1
Parameter: "a", Type: "Node", Count: 1
Parameter: "b", Type: "Node", Count: 1
Parameter: "in_mod", Type: "Module", Count: 1
Parameter: "e1_var", Type: "TVar", Count: 1
Parameter: "e11", Type: "BinConstraintT", Count: 1
Parameter: "e2", Type: "BinConstraintT", Count: 1
Parameter: "e12", Type: "BinConstraintT", Count: 1
Parameter: "constraint", Type: "TGreatestUpperBound", Count: 1
Parameter: "new_module", Type: "Module", Count: 1
Parameter: "orig_module", Type: "Module", Count: 1
Parameter: "fx_graph", Type: "Graph", Count: 1
Parameter: "graph", Type: "MklSubgraph", Count: 1
Parameter: "tracer", Type: "type[Tracer]", Count: 1
Parameter: "partition", Type: "Partition", Count: 1
Parameter: "parent_partition", Type: "Partition", Count: 1
Parameter: "child_partition", Type: "Partition", Count: 1
Parameter: "proxy", Type: "_ProxyTensor", Count: 1
Parameter: "e", Type: "Tensor", Count: 1
Parameter: "e", Type: "SymInt | SymFloat | SymBool", Count: 1
Parameter: "e", Type: "ScriptObject | FakeScriptObject", Count: 1
Parameter: "proxy_res", Type: "Proxy | Sequence[_NestedProxys] | Mapping[object, _NestedProxys]", Count: 1
Parameter: "constant", Type: "Tensor | Sequence[Tensor | ... | Mapping[object, _NestedTensors]] | Mapping[object, Tensor | Sequence[_NestedTensors] | ...] | None", Count: 1
Parameter: "t", Type: "ScriptObject | FakeScriptObject", Count: 1
Parameter: "t", Type: "SymInt | SymFloat | SymBool", Count: 1
Parameter: "func", Type: "OpOverload[..., Any] | ((...) -> Unknown)", Count: 1
Parameter: "new_graph", Type: "Graph", Count: 1
Parameter: "op", Type: "OpOverload[..., Any]", Count: 1
Parameter: "root", Type: "Module | ((...) -> Unknown)", Count: 1
Parameter: "ex", Type: "Tensor", Count: 1
Parameter: "val", Type: "int | SymInt | float | SymFloat", Count: 1
Parameter: "equalities_inputs", Type: "EqualityConstraint | None", Count: 1
Parameter: "source1", Type: "Source", Count: 1
Parameter: "source2", Type: "Source", Count: 1
Parameter: "src", Type: "Source", Count: 1
Parameter: "symbol_src", Type: "Source", Count: 1
Parameter: "fx_node", Type: "Node | None", Count: 1
Parameter: "val", Type: "SymInt | int", Count: 1
Parameter: "a", Type: "SymInt | int", Count: 1
Parameter: "a", Type: "SymInt | SymFloat | SymBool | int | float | bool", Count: 1
Parameter: "a", Type: "SymBool | SymFloat | SymInt | bool | float | int", Count: 1
Parameter: "expr", Type: "SymBool | bool", Count: 1
Parameter: "result", Type: "Tensor | tuple[Tensor, ...]", Count: 1
Parameter: "s", Type: "int | SymInt", Count: 1
Parameter: "a", Type: "SymBool | SymInt | SymFloat | int | bool | float", Count: 1
Parameter: "b", Type: "SymInt", Count: 1
Parameter: "converter", Type: "FakeTensorConverter", Count: 1
Parameter: "v", Type: "UntypedStorage", Count: 1
Parameter: "callback_", Type: "_MetaTensorCallback[_TensorT@MetaConverter]", Count: 1
Parameter: "callback", Type: "_MetaTensorCallback[_TensorT@MetaConverter] | None", Count: 1
Parameter: "value", Type: "SymInt | SymFloat | None", Count: 1
Parameter: "_", Type: "device", Count: 1
Parameter: "real_tensor", Type: "Tensor | None", Count: 1
Parameter: "coeff", Type: "int | SymInt", Count: 1
Parameter: "val", Type: "int | SymInt | float | SymFloat | bool | SymBool", Count: 1
Parameter: "symbool", Type: "bool | SymBool", Count: 1
Parameter: "mode", Type: "FakeTensorMode | None", Count: 1
Parameter: "root_m", Type: "Module", Count: 1
Parameter: "GraphModuleCls", Type: "type[GraphModule]", Count: 1
Parameter: "fusion_group", Type: "FusionGroup", Count: 1
Parameter: "subgraph", Type: "Graph", Count: 1
Parameter: "left", Type: "Graph", Count: 1
Parameter: "right", Type: "Graph", Count: 1
Parameter: "sub_gm", Type: "GraphModule", Count: 1
Parameter: "pattern", Type: "Graph", Count: 1
Parameter: "pattern_gm", Type: "GraphModule", Count: 1
Parameter: "tracer", Type: "TracerBase | None", Count: 1
Parameter: "tracer", Type: "TracerBase", Count: 1
Parameter: "pattern", Type: "((...) -> Unknown) | Graph | GraphModule", Count: 1
Parameter: "replacement", Type: "((...) -> Unknown) | Graph | GraphModule | None", Count: 1
Parameter: "node", Type: "Node | None", Count: 1
Parameter: "d", Type: "str | PathLike[Unknown]", Count: 1
Parameter: "obj", Type: "type[Module]", Count: 1
Parameter: "obj", Type: "dict[Unknown, Unknown]", Count: 1
Parameter: "obj", Type: "list[Unknown]", Count: 1
Parameter: "obj", Type: "Module", Count: 1
Parameter: "op", Type: "OpOverload[..., Any] | OpOverloadPacket[..., Any] | CustomOpDef", Count: 1
Parameter: "input", Type: "Tensor | MaskedTensor", Count: 1
Parameter: "other", Type: "Tensor | MaskedTensor", Count: 1
Parameter: "input_mask", Type: "Tensor | None", Count: 1
Parameter: "other_mask", Type: "Tensor | None", Count: 1
Parameter: "writer", Type: "SummaryWriter", Count: 1
Parameter: "device", Type: "device | str | int", Count: 1
Parameter: "ts", Type: "Tensor | list[Tensor] | tuple[Tensor, ...]", Count: 1
Parameter: "start", Type: "int | Tensor", Count: 1
Parameter: "length", Type: "int | Tensor", Count: 1
Parameter: "input_", Type: "Tensor", Count: 1
Parameter: "target_", Type: "Tensor", Count: 1
Parameter: "log_input", Type: "Tensor", Count: 1
Parameter: "encoder_layer", Type: "TransformerEncoderLayer", Count: 1
Parameter: "mask", Type: "Tensor | None", Count: 1
Parameter: "decoder_layer", Type: "TransformerDecoderLayer", Count: 1
Parameter: "output_device", Type: "int | device", Count: 1
Parameter: "batch", Type: "Tensor", Count: 1
Parameter: "head", Type: "Tensor", Count: 1
Parameter: "token_q", Type: "Tensor", Count: 1
Parameter: "token_kv", Type: "Tensor", Count: 1
Parameter: "q_num_blocks", Type: "Tensor | None", Count: 1
Parameter: "q_indices", Type: "Tensor | None", Count: 1
Parameter: "full_q_num_blocks", Type: "Tensor | None", Count: 1
Parameter: "full_q_indices", Type: "Tensor | None", Count: 1
Parameter: "q_nt", Type: "Tensor", Count: 1
Parameter: "kv_nt", Type: "Tensor | None", Count: 1
Parameter: "block_mask", Type: "BlockMask | None", Count: 1
Parameter: "in_proj_weight", Type: "Tensor | None", Count: 1
Parameter: "in_proj_bias", Type: "Tensor | None", Count: 1
Parameter: "bias_k", Type: "Tensor | None", Count: 1
Parameter: "bias_v", Type: "Tensor | None", Count: 1
Parameter: "out_proj_weight", Type: "Tensor", Count: 1
Parameter: "out_proj_bias", Type: "Tensor | None", Count: 1
Parameter: "q_proj_weight", Type: "Tensor | None", Count: 1
Parameter: "k_proj_weight", Type: "Tensor | None", Count: 1
Parameter: "v_proj_weight", Type: "Tensor | None", Count: 1
Parameter: "static_k", Type: "Tensor | None", Count: 1
Parameter: "static_v", Type: "Tensor | None", Count: 1
Parameter: "obj", Type: "Tensor | list[Any] | tuple[Any, ...] | dict[Any, Any]", Count: 1
Parameter: "param", Type: "Tensor", Count: 1
Parameter: "original", Type: "Tensor | Parameter", Count: 1
Parameter: "parametrization", Type: "Module", Count: 1
Parameter: "from_module", Type: "Module", Count: 1
Parameter: "to_module", Type: "Module", Count: 1
Parameter: "unsorted_indices", Type: "Tensor | None", Count: 1
Parameter: "lengths", Type: "Tensor | list[int]", Count: 1
Parameter: "sequence", Type: "PackedSequence", Count: 1
Parameter: "sequences", Type: "Tensor | list[Tensor]", Count: 1
Parameter: "padded_sequences", Type: "Tensor", Count: 1
Parameter: "lengths", Type: "Tensor", Count: 1
Parameter: "packed_sequences", Type: "PackedSequence", Count: 1
Parameter: "exported_program", Type: "ExportedProgram | None", Count: 1
Parameter: "destination", Type: "str | PathLike[Unknown]", Count: 1
Parameter: "value", Type: "Value | Tensor | None", Count: 1
Parameter: "model", Type: "Module | ExportedProgram | ScriptModule | ScriptFunction[..., Unknown]", Count: 1
Parameter: "f", Type: "str | PathLike[Unknown] | None", Count: 1
Parameter: "custom_translation_table", Type: "dict[(...) -> Unknown, ((...) -> Unknown) | Sequence[(...) -> Unknown]] | None", Count: 1
Parameter: "artifacts_dir", Type: "str | PathLike[Unknown]", Count: 1
Parameter: "shape", Type: "Tensor", Count: 1
Parameter: "cos_cache", Type: "Tensor", Count: 1
Parameter: "sin_cache", Type: "Tensor", Count: 1
Parameter: "position_ids", Type: "Tensor | None", Count: 1
Parameter: "Q", Type: "Tensor", Count: 1
Parameter: "K", Type: "Tensor", Count: 1
Parameter: "V", Type: "Tensor", Count: 1
Parameter: "past_key", Type: "Tensor | None", Count: 1
Parameter: "past_value", Type: "Tensor | None", Count: 1
Parameter: "x", Type: "Value", Count: 1
Parameter: "qtensor", Type: "Value", Count: 1
Parameter: "tensor", Type: "Value", Count: 1
Parameter: "scale", Type: "Value", Count: 1
Parameter: "zero_point", Type: "Value", Count: 1
Parameter: "axis", Type: "Value | None", Count: 1
Parameter: "device_value", Type: "Value", Count: 1
Parameter: "eps", Type: "Value", Count: 1
Parameter: "model", Type: "Module | ScriptModule | ScriptFunction[..., Unknown]", Count: 1
Parameter: "args", Type: "tuple[Any, ...] | Tensor", Count: 1
Parameter: "expected", Type: "Tensor | float | int | bool", Count: 1
Parameter: "actual", Type: "Tensor | float | int | bool", Count: 1
Parameter: "onnx_program", Type: "ONNXProgram", Count: 1
Parameter: "input_args", Type: "Tensor | tuple[Any, ...]", Count: 1
Parameter: "graph_info", Type: "GraphInfo | None", Count: 1
Parameter: "weight_decay", Type: "float | Tensor", Count: 1
Parameter: "exc", Type: "PackagingError", Count: 1
Parameter: "dependency_graph", Type: "DiGraph", Count: 1
Parameter: "storage", Type: "Storage | TypedStorage | UntypedStorage", Count: 1
Parameter: "packed", Type: "Tensor | None", Count: 1
Parameter: "meta", Type: "Tensor | None", Count: 1
Parameter: "packed_t", Type: "Tensor | None", Count: 1
Parameter: "meta_t", Type: "Tensor | None", Count: 1
Parameter: "compressed_swizzled_bitmask", Type: "Tensor | None", Count: 1
Parameter: "constraints", Type: "list[(...) -> Unknown] | None", Count: 1
Parameter: "inputs", Type: "Sequence[tuple[Any, ...]] | dict[(...) -> Unknown, Sequence[tuple[Any, ...]] | None] | None", Count: 1
Parameter: "info", Type: "list[str] | dict[(...) -> Unknown, list[str]] | None", Count: 1
Parameter: "inputs", Type: "dict[(...) -> Unknown, Sequence[tuple[Any, ...]] | None]", Count: 1
Parameter: "info", Type: "dict[(...) -> Unknown, list[str]] | None", Count: 1
Parameter: "dataset", Type: "Dataset[_T_co@DataLoader]", Count: 1
Parameter: "sampler", Type: "Sampler[Unknown] | Iterable[Unknown] | None", Count: 1
Parameter: "batch_sampler", Type: "Sampler[list[Unknown]] | Iterable[list[Unknown]] | None", Count: 1
Parameter: "collate_fn", Type: "((list[Unknown]) -> Any) | None", Count: 1
Parameter: "loader", Type: "DataLoader[Unknown]", Count: 1
Parameter: "other", Type: "Dataset[_T_co@IterableDataset]", Count: 1
Parameter: "arg", Type: "type[IterDataPipe[Unknown]] | (() -> bool)", Count: 1
Parameter: "args", Type: "Dataset[_T_co@__init__]", Count: 1
Parameter: "kwargs", Type: "Dataset[_T_co@__init__]", Count: 1
Parameter: "indices", Type: "list[Unknown]", Count: 1
Parameter: "dataset", Type: "Dataset[_T_co@Subset]", Count: 1
Parameter: "sampler", Type: "type[Sampler[Unknown]]", Count: 1
Parameter: "sampler_args", Type: "tuple[Unknown, ...] | None", Count: 1
Parameter: "sampler_kwargs", Type: "dict[Unknown, Unknown] | None", Count: 1
Parameter: "datapipe", Type: "IterDataPipe[_T_co@ShufflerIterDataPipe]", Count: 1
Parameter: "root", Type: "str | Sequence[str] | IterDataPipe[Unknown]", Count: 1
Parameter: "datapipe", Type: "IterDataPipe[_T_co@__init__]", Count: 1
Parameter: "datapipe", Type: "IterDataPipe[_T_co@FilterIterDataPipe]", Count: 1
Parameter: "source_datapipe", Type: "IterDataPipe[Unknown]", Count: 1
Parameter: "datapipe", Type: "IterDataPipe[tuple[str, IOBase]]", Count: 1
Parameter: "datapipe", Type: "MapDataPipe[Unknown]", Count: 1
Parameter: "datapipe", Type: "MapDataPipe[_T_co@ShufflerIterDataPipe]", Count: 1
Parameter: "datapipes", Type: "MapDataPipe[_T_co@ZipperMapDataPipe]", Count: 1
Parameter: "datapipe", Type: "MapDataPipe[_T@__init__]", Count: 1
Parameter: "input_col", Type: "int | tuple[Unknown, ...] | list[Unknown] | None", Count: 1
Parameter: "pathnames", Type: "Iterable[Unknown]", Count: 1
Parameter: "graph", Type: "dict[int, tuple[IterDataPipe[Unknown] | MapDataPipe[Unknown], DataPipeGraph]]", Count: 1
Parameter: "rng", Type: "Generator", Count: 1
Parameter: "mods", Type: "Module | list[Module] | None", Count: 1
Parameter: "header_extensions", Type: "Iterable[Unknown]", Count: 1
Parameter: "extra_files", Type: "Iterable[Unknown]", Count: 1
Parameter: "clean_ctx", Type: "GeneratedFileCleaner | None", Count: 1
Parameter: "inp_type", Type: "TensorType", Count: 1
Parameter: "stream", Type: "_XpuStreamBase", Count: 1

Total occurrences per Type:
Type: "Tensor", Count: 2227
Type: "Tensor | None", Count: 696
Type: "GraphContext", Count: 246
Type: "Module", Count: 124
Type: "str | device | int | None", Count: 123
Type: "int | SymInt", Count: 117
Type: "GraphModule", Count: 104
Type: "device | str | int | None", Count: 95
Type: "Node", Count: 81
Type: "int | SymInt | Sequence[int | SymInt]", Count: 56
Type: "Generator | None", Count: 50
Type: "str | PathLike[Unknown]", Count: 46
Type: "Tensor | float", Count: 41
Type: "ProcessGroup | None", Count: 38
Type: "Tensor | int | float | bool | complex", Count: 35
Type: "Tensor | tuple[Tensor, ...] | list[Tensor] | None", Count: 32
Type: "Graph", Count: 32
Type: "device | None", Count: 31
Type: "Value", Count: 29
Type: "Optimizer", Count: 25
Type: "PythonKeyTracer | _GraphAppendingTracerEx", Count: 24
Type: "int | SymInt | None", Count: 22
Type: "DeviceMesh | None", Count: 18
Type: "ProcessGroup", Count: 17
Type: "Iterable[Unknown]", Count: 17
Type: "device", Count: 16
Type: "float | Tensor", Count: 16
Type: "Tensor | list[Unknown]", Count: 16
Type: "Tensor | int", Count: 14
Type: "int | device | None", Count: 13
Type: "Source", Count: 13
Type: "QConfig | None", Count: 13
Type: "int | str | device", Count: 12
Type: "Store", Count: 12
Type: "IterDataPipe[Unknown]", Count: 12
Type: "Tensor | int | float | bool", Count: 12
Type: "bool | SymBool", Count: 12
Type: "BackendConfig", Count: 11
Type: "dict[str, Unknown | Any]", Count: 11
Type: "OpOverload[..., Any]", Count: 10
Type: "Tensor | int | float | bool | None", Count: 10
Type: "ScriptModule", Count: 10
Type: "SymInt | SymFloat | SymBool", Count: 10
Type: "GradBucket", Count: 9
Type: "type[Module]", Count: 9
Type: "TVar", Count: 9
Type: "BackendConfig | dict[str, Any] | None", Count: 8
Type: "list[tuple[Unknown, ...]] | dict[(...) -> Unknown, list[tuple[Unknown, ...]]] | None", Count: 8
Type: "Storage", Count: 8
Type: "str | device", Count: 7
Type: "Stream | None", Count: 7
Type: "Metadata", Count: 7
Type: "RendezvousParameters", Count: 7
Type: "Source | None", Count: 7
Type: "ShapeEnv | None", Count: 7
Type: "str | PathLike[Unknown] | None", Count: 7
Type: "int | float | Any | Unknown", Count: 7
Type: "Optimizer | None", Count: 7
Type: "list[Unknown] | None", Count: 7
Type: "Distribution", Count: 7
Type: "Tensor | int | float | bool | complex | SymInt | SymFloat", Count: 6
Type: "Module | dict[str, Any]", Count: 6
Type: "QuantizationConfig | None", Count: 6
